iter	Logloss
0	0.6927222033
1	0.692248458
2	0.691758652
3	0.6913576337
4	0.690894985
5	0.6904273215
6	0.6899170059
7	0.6895330861
8	0.6890641816
9	0.6886151262
10	0.6881526517
11	0.687720332
12	0.6872877365
13	0.6868168942
14	0.6863945607
15	0.685876828
16	0.6854820511
17	0.6850377638
18	0.6846033612
19	0.6841529342
20	0.6836765181
21	0.6832532847
22	0.6828128585
23	0.6823478511
24	0.6819345315
25	0.6815025383
26	0.6810525612
27	0.6806344371
28	0.6801969864
29	0.6797239596
30	0.6793318462
31	0.6789298699
32	0.6784915991
33	0.6780626614
34	0.6776429116
35	0.677221195
36	0.6768316072
37	0.6764151451
38	0.6760810841
39	0.6757340178
40	0.6753326947
41	0.6748758521
42	0.6745271165
43	0.6741369772
44	0.6736908901
45	0.6733088791
46	0.6729011186
47	0.6725074812
48	0.6721016947
49	0.6716553826
50	0.671265403
51	0.670903067
52	0.6704628439
53	0.6701467669
54	0.6697087501
55	0.6693398098
56	0.6689853917
57	0.6685715132
58	0.6681593982
59	0.6677468914
60	0.6673672173
61	0.6670013397
62	0.6665884554
63	0.6661929601
64	0.6658154705
65	0.6654733828
66	0.6650821693
67	0.6646628695
68	0.6642649647
69	0.6638928746
70	0.6634896066
71	0.6630941039
72	0.6627400922
73	0.6623847379
74	0.6620121906
75	0.6616389902
76	0.6612902402
77	0.6608976115
78	0.6605871881
79	0.6602083922
80	0.6598306994
81	0.6595105583
82	0.6591631799
83	0.6588197713
84	0.6585247555
85	0.658201276
86	0.6578062015
87	0.657469078
88	0.6571304085
89	0.6567533616
90	0.6563845955
91	0.6560771695
92	0.6557043464
93	0.6553684638
94	0.6550671776
95	0.6547266793
96	0.6543855641
97	0.6540389332
98	0.6537192856
99	0.6533843247
100	0.6531159801
101	0.6528304571
102	0.6525092491
103	0.6521868146
104	0.6518491685
105	0.6515343833
106	0.6511790435
107	0.6508563115
108	0.650526322
109	0.6502379177
110	0.6498636287
111	0.6495644181
112	0.649277146
113	0.6489593925
114	0.6487031896
115	0.648391576
116	0.6480781263
117	0.647722351
118	0.6473773023
119	0.6470601004
120	0.6467563539
121	0.646434275
122	0.6461134589
123	0.645779173
124	0.6454881416
125	0.645213316
126	0.6449473591
127	0.6446144231
128	0.6442886574
129	0.6440044262
130	0.6437379612
131	0.6434778103
132	0.6431545702
133	0.6428717905
134	0.6425327654
135	0.6422062523
136	0.6418992544
137	0.641583446
138	0.6412818331
139	0.6409672077
140	0.640629293
141	0.6403143047
142	0.6400786186
143	0.639781832
144	0.6394757631
145	0.6392102779
146	0.6389112487
147	0.6385846194
148	0.638266866
149	0.6379711172
150	0.637740134
