iter	Logloss
0	0.6926193664
1	0.6920687689
2	0.6915134191
3	0.6909924473
4	0.6904741249
5	0.6899135554
6	0.6893828731
7	0.6888713941
8	0.6883753661
9	0.687866279
10	0.6873668781
11	0.6868425723
12	0.6863331994
13	0.6858199535
14	0.6852901765
15	0.6848180111
16	0.6843158616
17	0.6838056754
18	0.6832960712
19	0.6827812831
20	0.68224854
21	0.681736118
22	0.6812349153
23	0.6807851353
24	0.6802948854
25	0.6797856251
26	0.6793312068
27	0.6788513968
28	0.6784034726
29	0.6778980498
30	0.6774190536
31	0.676900036
32	0.6764188455
33	0.6759159653
34	0.6754570658
35	0.6750137609
36	0.6745228579
37	0.6740507173
38	0.6735808204
39	0.6731392894
40	0.6726565683
41	0.6721796227
42	0.6716954631
43	0.6712416679
44	0.6707720344
45	0.6703049882
46	0.6698411491
47	0.6693884756
48	0.6689002739
49	0.6684374004
50	0.6679607579
51	0.6675150373
52	0.6670894132
53	0.6666292543
54	0.6661806796
55	0.6657109875
56	0.665257605
57	0.6648493504
58	0.6643837478
59	0.6639454411
60	0.6635103723
61	0.6630980992
62	0.6626710706
63	0.6622067813
64	0.6617723461
65	0.6613424354
66	0.6609239788
67	0.6604837545
68	0.6600429043
69	0.6596445179
70	0.6592082511
71	0.6588179667
72	0.6583866883
73	0.6579620856
74	0.6575364875
75	0.6571157297
76	0.6566860203
77	0.6562692285
78	0.6558357916
79	0.6554170782
80	0.6550039677
81	0.6546062797
82	0.6542225988
83	0.6538209139
84	0.6534032396
85	0.6529899187
86	0.6525874891
87	0.6521908226
88	0.6517647961
89	0.6513786275
90	0.65097874
91	0.6505808948
92	0.6501804907
93	0.6497998216
94	0.6494010334
95	0.6490043324
96	0.6486190792
97	0.6482615496
98	0.6478588122
99	0.6475154752
100	0.6471276496
101	0.6467319212
102	0.6463370373
103	0.6459489347
104	0.645571612
105	0.6452206445
106	0.6448192007
107	0.6444441552
108	0.6440967397
109	0.643710072
110	0.6433490493
111	0.6430034874
112	0.6426391033
113	0.6422678645
114	0.6418806149
115	0.641511971
116	0.641159879
117	0.6408024853
118	0.640430459
119	0.6400624099
120	0.6396858267
121	0.6393444244
122	0.6389763295
123	0.63862752
124	0.6382711295
125	0.6378996367
126	0.6375425675
127	0.6371944953
128	0.6368575537
129	0.6364920661
130	0.6361510556
131	0.6358136876
132	0.6354622636
133	0.6351144997
134	0.6347773914
135	0.6344423752
136	0.6341125973
137	0.6337875219
138	0.6334538416
139	0.6331092882
140	0.6327897007
141	0.6324456683
142	0.6321049805
143	0.6317799391
144	0.6314221731
145	0.6311198651
146	0.6308139921
147	0.63048587
148	0.6301408341
149	0.6298083553
150	0.6294761049
151	0.6291437648
152	0.6288134659
153	0.6284965478
154	0.6281523726
155	0.6278270764
156	0.6275065757
157	0.6271632907
158	0.6268709484
159	0.6265818271
160	0.6262447419
161	0.6259519022
162	0.6256195163
163	0.62528786
164	0.6249866404
165	0.6246865283
166	0.6243639692
167	0.6240758909
168	0.6237738944
169	0.6234848667
170	0.6232032129
171	0.6229113463
172	0.622648545
173	0.6223767849
174	0.6220626504
175	0.6217739611
176	0.621492548
177	0.621223035
178	0.6209099748
179	0.6205979573
180	0.6203284719
181	0.6200411737
182	0.6197219437
183	0.6194380658
184	0.6191579569
185	0.6188819171
186	0.6185928563
187	0.6183000216
188	0.618028373
189	0.6177637935
190	0.6174714211
191	0.6171937194
192	0.6169428762
193	0.6166491644
194	0.6163773779
195	0.6161051758
196	0.6158044541
197	0.6155336524
198	0.6152545326
199	0.6149717096
200	0.6147001154
201	0.6144000166
202	0.6141294558
203	0.6138525106
204	0.6135910246
205	0.6133124408
206	0.6130536933
207	0.6127933572
208	0.612517189
209	0.6122417129
210	0.6119950668
211	0.6117182966
212	0.6114682136
213	0.6111937938
214	0.6109086707
215	0.6106539957
216	0.6104014748
217	0.6101128118
218	0.6098412421
219	0.6095869115
220	0.6093223277
221	0.6090709653
222	0.6088106764
223	0.6085694109
224	0.6083414336
225	0.6080928692
226	0.607816833
227	0.6075515477
228	0.6072954816
229	0.6070598391
230	0.6068095802
231	0.606554743
232	0.6063046402
233	0.6060745459
234	0.6058571068
235	0.6056319143
236	0.6054111687
237	0.6051849575
238	0.6049293899
239	0.6046789016
240	0.6044343942
241	0.6042069239
242	0.6039736531
243	0.6037498398
244	0.6035133318
245	0.6032601643
246	0.6030201866
247	0.6027712552
248	0.6025381877
249	0.602304685
250	0.602074677
251	0.6018503273
252	0.6016221469
253	0.6013918999
254	0.6011814943
255	0.6009277889
256	0.6007066205
257	0.6004721154
258	0.6002376572
259	0.6000175151
260	0.5997593194
261	0.599531762
262	0.599331382
263	0.5991091084
264	0.5988853524
265	0.598658579
266	0.5984297497
267	0.5982186055
268	0.5980102885
269	0.597764349
270	0.5975646445
271	0.5973747697
272	0.5971650766
273	0.5969254604
274	0.5967157701
275	0.5964929464
276	0.5962746989
277	0.596071614
278	0.5958607709
279	0.5956554222
280	0.5954610136
281	0.5952379552
282	0.5950096245
283	0.5947905481
284	0.5945688627
285	0.5943638682
286	0.5941685685
287	0.5939603274
288	0.5937722326
289	0.5935587421
290	0.5933450991
291	0.593137701
292	0.5929425996
293	0.5927356206
294	0.5925289767
295	0.5923130721
296	0.59210744
297	0.5919056365
298	0.5916906371
299	0.591503263
300	0.5913072541
301	0.5911298205
302	0.5908985055
303	0.5907062482
304	0.5905183504
305	0.5903041201
306	0.5900982784
307	0.589894208
308	0.5897090404
309	0.5895190358
310	0.5893016478
311	0.5891410199
312	0.5889608515
313	0.588768629
314	0.5885671834
315	0.5883794422
316	0.5881754205
317	0.5879744304
318	0.587781614
319	0.5876043825
320	0.5874167515
321	0.5872310453
322	0.5870362919
323	0.586830625
324	0.5866357912
325	0.5864312108
326	0.5862717572
327	0.5860809456
328	0.58589421
329	0.5856993487
330	0.585534921
331	0.5853617268
332	0.5851599117
333	0.5849653075
334	0.584785659
335	0.5846096378
336	0.5844107242
337	0.5842432098
338	0.5840534347
339	0.5838924776
340	0.5836995864
341	0.5835044888
342	0.583328523
343	0.5831481626
344	0.5829547063
345	0.582778272
346	0.5826120944
347	0.5824820398
348	0.5822916561
